condition_id,n,surrogate_hit_rate,model_tag,seed
2,120,0.075,no_condition,52
3,72,0.027777777777777776,no_condition,52
4,56,0.017857142857142856,no_condition,52
5,95,0.05263157894736842,no_condition,52
6,62,0.0,no_condition,52
7,46,0.021739130434782608,no_condition,52
8,93,0.021505376344086023,no_condition,52
9,40,0.025,no_condition,52
10,91,0.02197802197802198,no_condition,52
11,40,0.0,no_condition,52
12,120,0.025,no_condition,52
13,74,0.02702702702702703,no_condition,52
14,53,0.018867924528301886,no_condition,52
15,111,0.08108108108108109,no_condition,52
16,105,0.06666666666666667,no_condition,52
17,63,0.0,no_condition,52
18,67,0.0,no_condition,52
19,114,0.07894736842105263,no_condition,52
20,92,0.06521739130434782,no_condition,52
21,99,0.050505050505050504,no_condition,52
22,68,0.058823529411764705,no_condition,52
23,80,0.025,no_condition,52
24,106,0.018867924528301886,no_condition,52
25,69,0.028985507246376812,no_condition,52
26,83,0.060240963855421686,no_condition,52
0,56,0.05357142857142857,no_condition,62
1,114,0.03508771929824561,no_condition,62
2,120,0.1,no_condition,62
3,72,0.041666666666666664,no_condition,62
4,56,0.017857142857142856,no_condition,62
5,95,0.042105263157894736,no_condition,62
6,62,0.016129032258064516,no_condition,62
7,46,0.021739130434782608,no_condition,62
8,93,0.03225806451612903,no_condition,62
9,40,0.0,no_condition,62
10,91,0.03296703296703297,no_condition,62
11,40,0.0,no_condition,62
12,120,0.025,no_condition,62
13,74,0.013513513513513514,no_condition,62
14,53,0.03773584905660377,no_condition,62
15,111,0.09009009009009009,no_condition,62
16,105,0.02857142857142857,no_condition,62
17,63,0.0,no_condition,62
18,67,0.014925373134328358,no_condition,62
19,114,0.043859649122807015,no_condition,62
20,92,0.03260869565217391,no_condition,62
21,99,0.10101010101010101,no_condition,62
22,68,0.029411764705882353,no_condition,62
23,80,0.0625,no_condition,62
24,106,0.03773584905660377,no_condition,62
25,69,0.028985507246376812,no_condition,62
26,83,0.07228915662650602,no_condition,62
0,56,0.017857142857142856,small_latent,42
1,114,0.05263157894736842,small_latent,42
2,120,0.03333333333333333,small_latent,42
3,72,0.09722222222222222,small_latent,42
4,56,0.03571428571428571,small_latent,42
5,95,0.021052631578947368,small_latent,42
6,62,0.0,small_latent,42
7,46,0.021739130434782608,small_latent,42
8,93,0.06451612903225806,small_latent,42
9,40,0.0,small_latent,42
